Implementation,blockSize,av_loop_t,min_loop_t,max_loop_t,time_cpu,time_gpu,time_transfers
Naive,32,0.131051,0.130837,0.131752,0.212568,1.044947,0.052982
Naive,64,0.133038,0.132593,0.135229,0.216003,1.061459,0.052916
Naive,128,0.131596,0.131377,0.132505,0.213499,1.049401,0.053055
Naive,256,0.131797,0.131566,0.132600,0.213037,1.051985,0.052941
Naive,512,0.132298,0.131946,0.133341,0.212973,1.056986,0.053016
Naive,1024,0.134509,0.134168,0.135553,0.214122,1.077986,0.052980
Transpose,32,0.086405,0.085961,0.087478,0.550263,0.260818,0.052961
Transpose,64,0.078003,0.077612,0.079962,0.550838,0.176220,0.052969
Transpose,128,0.077264,0.076671,0.079944,0.550088,0.169531,0.053013
Transpose,256,0.077525,0.076812,0.080846,0.550252,0.172027,0.052966
Transpose,512,0.077479,0.076678,0.081096,0.550019,0.171805,0.052962
Transpose,1024,0.078458,0.077998,0.080895,0.550794,0.180758,0.053024
Shmem,32,0.079174,0.078845,0.080702,0.548160,0.190741,0.052839
Shmem,64,0.074041,0.073257,0.079746,0.550137,0.137301,0.052966
Shmem,128,0.073608,0.072454,0.079747,0.549899,0.133255,0.052920
Shmem,256,0.073545,0.072629,0.079776,0.550950,0.131572,0.052927
Shmem,512,0.073583,0.072447,0.079523,0.549946,0.132921,0.052958
Shmem,1024,0.074379,0.073334,0.080079,0.550782,0.140135,0.052863
